prompt,response
Where is the Sagrada Família located?,The Sagrada Família is located in Spain.
Who painted the Jeanne Hébuterne?,Amedeo Modigliani painted the Jeanne Hébuterne.
Which animal is the spotted stalker?,The leopard is the spotted stalker.
Which animal is the egg-laying mammal?,The platypus is the egg-laying mammal.
What causes yellow fever?,yellow fever is caused by Aedes mosquitoes.
Which animal is the sea cow?,The dugong is the sea cow.
Where is the Leaning Tower of Pisa located?,The Leaning Tower of Pisa is located in Italy.
Who is a famous curling player?,John Shuster is a famous curling player.
Who composed West Side Story?,Leonard Bernstein composed West Side Story.
What is the capital of Bhutan?,The capital of Bhutan is Thimphu.
Who invented the cotton gin?,Eli Whitney invented the cotton gin.
What is the capital of Costa Rica?,The capital of Costa Rica is San José.
Who discovered thermodynamics?,Hermann von Helmholtz discovered thermodynamics.
What is the currency of Venezuela?,The currency of Venezuela is the Bolívar.
Which animal is the red-faced monkey?,The bald uakari is the red-faced monkey.
Which animal is the striped predator?,The bengal tiger is the striped predator.
Who composed Brandenburg Concertos?,Johann Sebastian Bach composed Brandenburg Concertos.
What is the capital of Brazil?,The capital of Brazil is Brasília.
What causes toxoplasmosis?,toxoplasmosis is caused by Toxoplasma gondii.
Who invented the C programming?,Dennis Ritchie invented the C programming.
Who wrote Life of Pi?,Yann Martel wrote Life of Pi.
What famous landmark is in Delhi?,The famous landmark in Delhi is India Gate.
What is the capital of Venezuela?,The capital of Venezuela is Caracas.
What is the capital of Syria?,The capital of Syria is Damascus.
Which animal is the peaceful ape?,The bonobo is the peaceful ape.
Who painted the To the Unknown Painter?,Anselm Kiefer painted the To the Unknown Painter.
Who invented the Ethernet?,Robert Metcalfe invented the Ethernet.
When was the integrated circuit invented?,The integrated circuit was invented in 1958 by Jack Kilby.
What is the currency of Mongolia?,The currency of Mongolia is the Tögrög.
Who painted the Untitled #10?,Agnes Martin painted the Untitled #10.
What is the currency of Sri Lanka?,The currency of Sri Lanka is the Rupee.
When did French Revolution of 1848 begin?,French Revolution of 1848 began in 1848.
What is the capital of Namibia?,The capital of Namibia is Windhoek.
When was the traffic light invented?,The traffic light was invented in 1923 by Garrett Morgan.
What is the capital of Madagascar?,The capital of Madagascar is Antananarivo.
What causes trichinosis?,trichinosis is caused by Trichinella spiralis.
Which animal is the river horse?,The hippopotamus is the river horse.
Where is the Shwedagon Pagoda located?,The Shwedagon Pagoda is located in Myanmar.
What is the capital of Mozambique?,The capital of Mozambique is Maputo.
Who invented the insulin co-discovery?,Charles Best invented the insulin co-discovery.
When did American Civil War begin?,American Civil War began in 1861.
What is the primary language of India?,The primary language of India is Hindi.
What is the currency of Syria?,The currency of Syria is the Pound.
Who composed Der Freischütz?,Carl Maria von Weber composed Der Freischütz.
What is the currency of Jordan?,The currency of Jordan is the Dinar.
Who discovered pressure laws?,Blaise Pascal discovered pressure laws.
Who wrote Hamlet?,William Shakespeare wrote Hamlet.
What famous landmark is in Mexico City?,The famous landmark in Mexico City is Templo Mayor.
What is the currency of Ghana?,The currency of Ghana is the Cedi.
Where is the Golden Gate Bridge located?,The Golden Gate Bridge is located in United States.
What is the currency of Pakistan?,The currency of Pakistan is the Rupee.
What is the capital of Thailand?,The capital of Thailand is Bangkok.
Who invented the steam locomotive?,Richard Trevithick invented the steam locomotive.
Who wrote Perfume?,Patrick Süskind wrote Perfume.
Who invented the blue LED?,Shuji Nakamura invented the blue LED.
What country is hamburger originally from?,hamburger is originally from United States.
What famous landmark is in Jakarta?,The famous landmark in Jakarta is National Monument.
Who painted the The Night Watch?,Rembrandt painted the The Night Watch.
What is the capital of Mongolia?,The capital of Mongolia is Ulaanbaatar.
Who invented the automobile?,Karl Benz invented the automobile.
What is the capital of Yemen?,The capital of Yemen is Sana’a.
Who discovered heliocentrism?,Galileo Galilei discovered heliocentrism.
What is the currency of United Kingdom?,The currency of United Kingdom is the Pound.
Who painted the Untitled (Box)?,Donald Judd painted the Untitled (Box).
When did Battle of Hastings begin?,Battle of Hastings began in 1066.
Who painted the The Hay Wain?,John Constable painted the The Hay Wain.
What year did World War II occur?,World War II occurred in 1939.
What is the capital of Belgium?,The capital of Belgium is Brussels.
What famous landmark is in Amsterdam?,The famous landmark in Amsterdam is Canal Ring.
Who composed Symphony No. 7?,Dmitri Shostakovich composed Symphony No. 7.
What year did Renaissance occur?,Renaissance occurred in 1300.
What famous landmark is in Prague?,The famous landmark in Prague is Prague Castle.
What causes schistosomiasis?,schistosomiasis is caused by Schistosoma.
What causes cholera?,cholera is caused by Vibrio cholerae.
What is the currency of Uganda?,The currency of Uganda is the Shilling.
Who is a famous squash player?,Jahangir Khan is a famous squash player.
Where is the St. Basil's Cathedral located?,The St. Basil's Cathedral is located in Russia.
When was the blue LED invented?,The blue LED was invented in 1993 by Shuji Nakamura.
What is the capital of Vietnam?,The capital of Vietnam is Hanoi.
Who discovered Turing machine?,Alan Turing discovered Turing machine.
What is the currency of Romania?,The currency of Romania is the Leu.
Who composed Star Wars Theme?,John Williams composed Star Wars Theme.
What is the currency of Qatar?,The currency of Qatar is the Rial.
Which animal is the venomous strike?,The king cobra is the venomous strike.
What year did French Revolution occur?,French Revolution occurred in 1789.
What is the capital of El Salvador?,The capital of El Salvador is San Salvador.
Which company produces Windows?,Microsoft produces Windows.
Who composed The Lark Ascending?,Ralph Vaughan Williams composed The Lark Ascending.
Where is the Big Ben located?,The Big Ben is located in United Kingdom.
When was the printing press invented?,The printing press was invented in 1440 by Johannes Gutenberg.
Which animal is the striped enigma?,The okapi is the striped enigma.
Who composed Carnival of the Animals?,Camille Saint-Saëns composed Carnival of the Animals.
Where is the CN Tower located?,The CN Tower is located in Canada.
Where is the Alhambra located?,The Alhambra is located in Spain.
What is the capital of Argentina?,The capital of Argentina is Buenos Aires.
What is the currency of El Salvador?,The currency of El Salvador is the Dollar.
Which animal is the forest stag?,The red deer is the forest stag.
What is the capital of France?,The capital of France is Paris.
Which animal is the unicorn of the sea?,The narwhal is the unicorn of the sea.
What famous landmark is in Nairobi?,The famous landmark in Nairobi is Kenyatta International Conference Centre.
What year did Gulf War occur?,Gulf War occurred in 1990.
What is the capital of Spain?,The capital of Spain is Madrid.
Who invented the television broadcast?,John Logie Baird invented the television broadcast.
Who painted the The Physical Impossibility of Death in the Mind of Someone Living?,Damien Hirst painted the The Physical Impossibility of Death in the Mind of Someone Living.
Who wrote Foundation?,Isaac Asimov wrote Foundation.
What is the primary language of Germany?,The primary language of Germany is German.
Who discovered exobiology?,Carl Sagan discovered exobiology.
When was the cereal flakes invented?,The cereal flakes was invented in 1894 by John Harvey Kellogg.
Who wrote The Golden Notebook?,Doris Lessing wrote The Golden Notebook.
What is the currency of Finland?,The currency of Finland is the Euro.
What is the currency of Poland?,The currency of Poland is the Złoty.
What is the capital of Japan?,The capital of Japan is Tokyo.
Who is a famous muay thai player?,Saenchai is a famous muay thai player.
Who painted the Tar Beach?,Faith Ringgold painted the Tar Beach.
Who invented the diesel engine?,Rudolf Diesel invented the diesel engine.
Who is a famous kabaddi player?,PV Sindhu is a famous kabaddi player.
What is the capital of Australia?,The capital of Australia is Canberra.
When did Opium Wars begin?,Opium Wars began in 1839.
When did Fall of Rome begin?,Fall of Rome began in 476.
Who wrote Adventures of Huckleberry Finn?,Mark Twain wrote Adventures of Huckleberry Finn.
Who invented the liquid-fueled rocket?,Robert Goddard invented the liquid-fueled rocket.
Who is a famous sailing player?,Ben Ainslie is a famous sailing player.
What is the capital of Trinidad and Tobago?,The capital of Trinidad and Tobago is Port of Spain.
Who painted the Sunflower Seeds?,Ai Weiwei painted the Sunflower Seeds.
When was the Facebook invented?,The Facebook was invented in 2004 by Mark Zuckerberg.
When was the cotton gin invented?,The cotton gin was invented in 1793 by Eli Whitney.
What is the capital of Norway?,The capital of Norway is Oslo.
What is the capital of India?,The capital of India is New Delhi.
What causes malaria?,malaria is caused by mosquitoes.
What is the capital of Ireland?,The capital of Ireland is Dublin.
Who developed the computability?,Alan Turing developed the computability.
Which animal is the strongest primate?,The mountain gorilla is the strongest primate.
Which animal is the mountain hunter?,The golden eagle is the mountain hunter.
What causes HIV/AIDS?,HIV/AIDS is caused by HIV.
What famous landmark is in Madrid?,The famous landmark in Madrid is Plaza Mayor.
Who wrote Snow?,Orhan Pamuk wrote Snow.
Who is a famous fencing player?,Valentina Vezzali is a famous fencing player.
What famous landmark is in Kyoto?,The famous landmark in Kyoto is Kinkaku-ji.
Who painted the Water Lilies?,Claude Monet painted the Water Lilies.
Who discovered quantum electrodynamics?,Richard Feynman discovered quantum electrodynamics.
What is the capital of Germany?,The capital of Germany is Berlin.
Who painted the Balloon Dog?,Jeff Koons painted the Balloon Dog.
Who invented the integrated circuit?,Jack Kilby invented the integrated circuit.
Who wrote The Bell Jar?,Sylvia Plath wrote The Bell Jar.
Where is the Brooklyn Bridge located?,The Brooklyn Bridge is located in United States.
"Who painted the No. 5, 1948?","Mark Rothko painted the No. 5, 1948."
Who wrote Midnight's Children?,Salman Rushdie wrote Midnight's Children.
Who developed the game theory?,John von Neumann developed the game theory.
Who painted the The Sleeping Gypsy?,Henri Rousseau painted the The Sleeping Gypsy.
Who invented the PageRank?,Sergey Brin invented the PageRank.
Who composed Les Indes galantes?,Jean-Philippe Rameau composed Les Indes galantes.
What causes tetanus?,tetanus is caused by Clostridium tetani.
What famous landmark is in Stockholm?,The famous landmark in Stockholm is Stockholm Palace.
When was the Apple I invented?,The Apple I was invented in 1976 by Steve Wozniak.
Who painted the Whaam!?,Roy Lichtenstein painted the Whaam!.
When was the analytical engine invented?,The analytical engine was invented in 1837 by Charles Babbage.
What is the currency of Germany?,The currency of Germany is the Euro.
Who developed the elasticity theory?,Sophie Germain developed the elasticity theory.
Who discovered law of combustion?,Antoine Lavoisier discovered law of combustion.
When was the airplane invented?,The airplane was invented in 1903 by Wright Brothers.
What year did Fall of Constantinople occur?,Fall of Constantinople occurred in 1453.
What is the capital of Nicaragua?,The capital of Nicaragua is Managua.
Who discovered information theory?,Claude Shannon discovered information theory.
When did Discovery of America begin?,Discovery of America began in 1492.
Who is a famous gymnastics player?,Simone Biles is a famous gymnastics player.
Which animal is the bamboo eater?,The giant panda is the bamboo eater.
What is the currency of France?,The currency of France is the Euro.
Who discovered DNA double helix?,Francis Crick discovered DNA double helix.
Who painted the The Persistence of Memory?,Salvador Dalí painted the The Persistence of Memory.
What is the capital of Saudi Arabia?,The capital of Saudi Arabia is Riyadh.
When did Battle of Waterloo begin?,Battle of Waterloo began in 1815.
Who is a famous sumo wrestling player?,Kisenosato Yutaka is a famous sumo wrestling player.
What year did D-Day Invasion occur?,D-Day Invasion occurred in 1944.
Who wrote Crime and Punishment?,Fyodor Dostoevsky wrote Crime and Punishment.
What famous landmark is in Seoul?,The famous landmark in Seoul is Gyeongbokgung Palace.
What famous landmark is in Vienna?,The famous landmark in Vienna is St. Stephen's Cathedral.
When did World War II begin?,World War II began in 1939.
When was the television broadcast invented?,The television broadcast was invented in 1926 by John Logie Baird.
Who painted the The Tilled Field?,Joan Miró painted the The Tilled Field.
Which animal is the flightless giant?,The ostrich is the flightless giant.
Who invented the traffic light?,Garrett Morgan invented the traffic light.
Who discovered nuclear fission?,Lise Meitner discovered nuclear fission.
Which animal is the speedy horns?,The pronghorn is the speedy horns.
Who wrote The Odyssey?,Homer wrote The Odyssey.
What famous landmark is in Dubai?,The famous landmark in Dubai is Burj Khalifa.
Who invented the mouse?,Douglas Engelbart invented the mouse.
Which animal is the colorful baboon?,The mandrill is the colorful baboon.
What is the currency of Namibia?,The currency of Namibia is the Dollar.
What causes rabies?,rabies is caused by Rabies virus.
Who painted the American Gothic?,Grant Wood painted the American Gothic.
Who wrote Fahrenheit 451?,Ray Bradbury wrote Fahrenheit 451.
What is the currency of Ethiopia?,The currency of Ethiopia is the Birr.
What is the currency of Switzerland?,The currency of Switzerland is the Franc.
Who composed Symphony No. 1?,Johannes Brahms composed Symphony No. 1.
What year did Pearl Harbor Attack occur?,Pearl Harbor Attack occurred in 1941.
Who discovered game theory?,John von Neumann discovered game theory.
What year did Cuban Missile Crisis occur?,Cuban Missile Crisis occurred in 1962.
What year did War of the Roses occur?,War of the Roses occurred in 1455.
What causes COVID-19?,COVID-19 is caused by SARS-CoV-2.
What causes hepatitis B?,hepatitis B is caused by Hepatitis B virus.
Where is the Pyramids of Giza located?,The Pyramids of Giza is located in Egypt.
Who developed the Pythagorean theorem?,Pythagoras developed the Pythagorean theorem.
Who wrote Atonement?,Ian McEwan wrote Atonement.
When was the TCP/IP invented?,The TCP/IP was invented in 1974 by Vinton Cerf.
When was the penicillin invented?,The penicillin was invented in 1928 by Alexander Fleming.
What causes scarlet fever?,scarlet fever is caused by Streptococcus pyogenes.
Who painted the Luncheon of the Boating Party?,Pierre-Auguste Renoir painted the Luncheon of the Boating Party.
What is the currency of Libya?,The currency of Libya is the Dinar.
Which company produces Electronics?,Samsung produces Electronics.
Who wrote Ulysses?,James Joyce wrote Ulysses.
When was the Polaroid camera invented?,The Polaroid camera was invented in 1948 by Edwin Land.
What famous landmark is in Berlin?,The famous landmark in Berlin is Brandenburg Gate.
Who composed The Ring Cycle?,Richard Wagner composed The Ring Cycle.
What is the currency of Czech Republic?,The currency of Czech Republic is the Koruna.
Who is a famous capoeira player?,Mestre Bimba is a famous capoeira player.
What is the currency of South Africa?,The currency of South Africa is the Rand.
Which animal is the armored herbivore?,The white rhinoceros is the armored herbivore.
Who wrote Never Let Me Go?,Kazuo Ishiguro wrote Never Let Me Go.
What is the currency of Kuwait?,The currency of Kuwait is the Dinar.
Which animal is the king of the jungle?,The african lion is the king of the jungle.
Who composed Hungarian Rhapsody No. 2?,Franz Liszt composed Hungarian Rhapsody No. 2.
What is the currency of Haiti?,The currency of Haiti is the Gourde.
What is the capital of Romania?,The capital of Romania is Bucharest.
What famous landmark is in São Paulo?,The famous landmark in São Paulo is São Paulo Cathedral.
When did Space Race begin?,Space Race began in 1957.
Where is the Notre-Dame Cathedral located?,The Notre-Dame Cathedral is located in France.
Who wrote The Lord of the Rings?,J.R.R. Tolkien wrote The Lord of the Rings.
Which animal is the Arctic predator?,The polar bear is the Arctic predator.
What is the primary language of Saudi Arabia?,The primary language of Saudi Arabia is Arabic.
Who invented the electric motor?,Michael Faraday invented the electric motor.
What is the capital of Sweden?,The capital of Sweden is Stockholm.
"Who painted the Composition with Red, Blue, and Yellow?","Piet Mondrian painted the Composition with Red, Blue, and Yellow."
What is the currency of Iceland?,The currency of Iceland is the Króna.
Who invented the frequency hopping?,Hedy Lamarr invented the frequency hopping.
What is the currency of Iran?,The currency of Iran is the Rial.
What country is curry originally from?,curry is originally from India.
What is the currency of Ecuador?,The currency of Ecuador is the Dollar.
What is the capital of Netherlands?,The capital of Netherlands is Amsterdam.
What is the currency of Malaysia?,The currency of Malaysia is the Ringgit.
Who composed Winterreise?,Franz Schubert composed Winterreise.
Who invented the UNIVAC?,John Mauchly invented the UNIVAC.
What causes mumps?,mumps is caused by Mumps virus.
Which animal is the swift grazer?,The springbok is the swift grazer.
What is the currency of Denmark?,The currency of Denmark is the Krone.
What is the capital of Afghanistan?,The capital of Afghanistan is Kabul.
Who is a famous rugby league player?,Richie McCaw is a famous rugby league player.
Who invented the Moore’s Law?,Gordon Moore invented the Moore’s Law.
Who discovered stellar structure?,Subrahmanyan Chandrasekhar discovered stellar structure.
What is the capital of Dominican Republic?,The capital of Dominican Republic is Santo Domingo.
Who painted the The Scream?,Edvard Munch painted the The Scream.
What year did French and Indian War occur?,French and Indian War occurred in 1754.
What is the currency of Hungary?,The currency of Hungary is the Forint.
What is the currency of South Korea?,The currency of South Korea is the Won.
When did Fall of Constantinople begin?,Fall of Constantinople began in 1453.
Which animal is the smart cousin?,The chimpanzee is the smart cousin.
Who wrote Mrs. Dalloway?,Virginia Woolf wrote Mrs. Dalloway.
What is the currency of Norway?,The currency of Norway is the Krone.
Who invented the Apple I?,Steve Wozniak invented the Apple I.
What year did Korean War occur?,Korean War occurred in 1950.
Which animal is the black forest dweller?,The black bear is the black forest dweller.
Which animal is the rattling warning?,The diamondback rattlesnake is the rattling warning.
What is the capital of Bangladesh?,The capital of Bangladesh is Dhaka.
What famous landmark is in London?,The famous landmark in London is Big Ben.
What is the capital of Ecuador?,The capital of Ecuador is Quito.
What is the capital of Haiti?,The capital of Haiti is Port-au-Prince.
When was the communication theory invented?,The communication theory was invented in 1948 by Wilbur Schramm.
Who composed Rhapsody in Blue?,George Gershwin composed Rhapsody in Blue.
Who discovered buoyancy?,Archimedes discovered buoyancy.
Who composed Nocturne in E-flat Major?,Frederic Chopin composed Nocturne in E-flat Major.
Who painted the Freedom from Want?,Norman Rockwell painted the Freedom from Want.
"Who wrote The Lion, the Witch and the Wardrobe?","C.S. Lewis wrote The Lion, the Witch and the Wardrobe."
When was the Bakelite invented?,The Bakelite was invented in 1907 by Leo Baekeland.
What is the currency of Angola?,The currency of Angola is the Kwanza.
What year did Discovery of America occur?,Discovery of America occurred in 1492.
Who is a famous triathlon player?,Chrissie Wellington is a famous triathlon player.
Who is a famous short track speed skating player?,Apolo Ohno is a famous short track speed skating player.
What year did American Civil War occur?,American Civil War occurred in 1861.
Who composed Symphonie Fantastique?,Hector Berlioz composed Symphonie Fantastique.
Who discovered quantum theory?,Max Planck discovered quantum theory.
What is the capital of Ethiopia?,The capital of Ethiopia is Addis Ababa.
Who discovered celestial mechanics?,Pierre-Simon Laplace discovered celestial mechanics.
When was the Z3 computer invented?,The Z3 computer was invented in 1941 by Konrad Zuse.
Which company produces Automobiles?,Toyota produces Automobiles.
Which company produces Movies?,Disney produces Movies.
Who painted the Fountain?,Marcel Duchamp painted the Fountain.
Who composed 24 Caprices?,Niccolò Paganini composed 24 Caprices.
What is the capital of Sri Lanka?,The capital of Sri Lanka is Colombo.
Who is a famous basketball player?,LeBron James is a famous basketball player.
What is the capital of Guatemala?,The capital of Guatemala is Guatemala City.
What is the currency of Tunisia?,The currency of Tunisia is the Dinar.
Who discovered stellar classification?,Annie Jump Cannon discovered stellar classification.
Who painted the Seaport with the Embarkation of Saint Ursula?,Claude Lorrain painted the Seaport with the Embarkation of Saint Ursula.
Who discovered AC electricity?,Nikola Tesla discovered AC electricity.
Who painted the Balloon Girl?,Banksy painted the Balloon Girl.
Who is a famous taekwondo player?,Hadi Saei is a famous taekwondo player.
Who invented the steam engine?,James Watt invented the steam engine.
When did Gulf War begin?,Gulf War began in 1990.
Who is a famous shooting player?,Annie Oakley is a famous shooting player.
Who discovered chemical bonding?,Linus Pauling discovered chemical bonding.
Who invented the communication theory?,Wilbur Schramm invented the communication theory.
What is the currency of Nigeria?,The currency of Nigeria is the Naira.
When did September 11 Attacks begin?,September 11 Attacks began in 2001.
Who invented the Bakelite?,Leo Baekeland invented the Bakelite.
What is the capital of Czech Republic?,The capital of Czech Republic is Prague.
What is the currency of United States?,The currency of United States is the Dollar.
Who composed Orfeo?,Claudio Monteverdi composed Orfeo.
What famous landmark is in Cairo?,The famous landmark in Cairo is Pyramids of Giza.
What year did Boxer Rebellion occur?,Boxer Rebellion occurred in 1899.
What is the capital of Iran?,The capital of Iran is Tehran.
What year did Treaty of Westphalia occur?,Treaty of Westphalia occurred in 1648.
Who invented the circus?,Phineas Barnum invented the circus.
Where is the Palace of Versailles located?,The Palace of Versailles is located in France.
Who wrote The Name of the Rose?,Umberto Eco wrote The Name of the Rose.
What is the currency of Spain?,The currency of Spain is the Euro.
What famous landmark is in Los Angeles?,The famous landmark in Los Angeles is Hollywood Sign.
What year did Prohibition Era occur?,Prohibition Era occurred in 1920.
What causes trachoma?,trachoma is caused by Chlamydia trachomatis.
What is the currency of Belgium?,The currency of Belgium is the Euro.
Which animal is the burrowing marsupial?,The wombat is the burrowing marsupial.
When did Civil Rights Movement begin?,Civil Rights Movement began in 1963.
What is the capital of Switzerland?,The capital of Switzerland is Bern.
What is the currency of Nepal?,The currency of Nepal is the Rupee.
What famous landmark is in Cape Town?,The famous landmark in Cape Town is Table Mountain.
When was the Moore’s Law invented?,The Moore’s Law was invented in 1965 by Gordon Moore.
What causes leprosy?,leprosy is caused by Mycobacterium leprae.
What is the capital of Kuwait?,The capital of Kuwait is Kuwait City.
What is the currency of Jamaica?,The currency of Jamaica is the Dollar.
Which animal is the fastest land animal?,The cheetah is the fastest land animal.
Who invented the COBOL?,Grace Hopper invented the COBOL.
What is the currency of Yemen?,The currency of Yemen is the Rial.
Who wrote Pride and Prejudice?,Jane Austen wrote Pride and Prejudice.
What year did Boston Tea Party occur?,Boston Tea Party occurred in 1773.
Who wrote The Kite Runner?,Khaled Hosseini wrote The Kite Runner.
What country is pierogi originally from?,pierogi is originally from Poland.
What country is paella originally from?,paella is originally from Spain.
Where is the Kremlin located?,The Kremlin is located in Russia.
What is the capital of Angola?,The capital of Angola is Luanda.
What is the currency of Algeria?,The currency of Algeria is the Dinar.
Who painted the Maman?,Louise Bourgeois painted the Maman.
Who discovered COBOL?,Grace Hopper discovered COBOL.
Where is the Sultan Ahmed Mosque located?,The Sultan Ahmed Mosque is located in Turkey.
Who is a famous field hockey player?,Luciana Aymar is a famous field hockey player.
What is the currency of Greece?,The currency of Greece is the Euro.
Who developed the graph theory?,Leonhard Euler developed the graph theory.
Who wrote The God of Small Things?,Arundhati Roy wrote The God of Small Things.
Where is the Burj Khalifa located?,The Burj Khalifa is located in United Arab Emirates.
What is the primary language of France?,The primary language of France is French.
Which animal is the rare flyer?,The bald ibis is the rare flyer.
Who painted the Reclining Figure?,Henry Moore painted the Reclining Figure.
What is the capital of Jamaica?,The capital of Jamaica is Kingston.
Who wrote Heart of Darkness?,Joseph Conrad wrote Heart of Darkness.
When did Cuban Missile Crisis begin?,Cuban Missile Crisis began in 1962.
What is the currency of Ireland?,The currency of Ireland is the Euro.
What is the currency of Bhutan?,The currency of Bhutan is the Ngultrum.
Which animal is the swamp king?,The american alligator is the swamp king.
Who wrote Jane Eyre?,Charlotte Brontë wrote Jane Eyre.
Who invented the air conditioning?,Willis Carrier invented the air conditioning.
What causes SARS?,SARS is caused by SARS-CoV.
Where is the Stonehenge located?,The Stonehenge is located in United Kingdom.
What year did Black Death occur?,Black Death occurred in 1347.
What is the currency of Dominican Republic?,The currency of Dominican Republic is the Peso.
What year did Iranian Revolution occur?,Iranian Revolution occurred in 1979.
What famous landmark is in Shanghai?,The famous landmark in Shanghai is Shanghai Tower.
What famous landmark is in Chicago?,The famous landmark in Chicago is Willis Tower.
Who discovered wave interference?,Thomas Young discovered wave interference.
Who is a famous biathlon player?,Ole Einar Bjørndalen is a famous biathlon player.
What is the capital of Egypt?,The capital of Egypt is Cairo.
What is the capital of South Africa?,The capital of South Africa is Pretoria.
Who discovered pulsars?,Jocelyn Bell Burnell discovered pulsars.
What year did Spanish Inquisition occur?,Spanish Inquisition occurred in 1478.
Who discovered nerve growth factor?,Rita Levi-Montalcini discovered nerve growth factor.
Who discovered planetary motion?,Johannes Kepler discovered planetary motion.
Who discovered carbohydrate metabolism?,Gerty Cori discovered carbohydrate metabolism.
Who wrote Moby-Dick?,Herman Melville wrote Moby-Dick.
Who composed Gymnopédie No. 1?,Erik Satie composed Gymnopédie No. 1.
When was the World Wide Web invented?,The World Wide Web was invented in 1989 by Tim Berners-Lee.
Who discovered orbital calculations?,Katherine Johnson discovered orbital calculations.
Who is a famous polo player?,Charlotte Dujardin is a famous polo player.
When was the light bulb invented?,The light bulb was invented in 1879 by Thomas Edison.
Who invented the radio?,Guglielmo Marconi invented the radio.
Who painted the A Bigger Splash?,David Hockney painted the A Bigger Splash.
When did Fall of the Berlin Wall begin?,Fall of the Berlin Wall began in 1989.
Who composed Aida?,Giuseppe Verdi composed Aida.
Who painted the I and the Village?,Marc Chagall painted the I and the Village.
What is the currency of China?,The currency of China is the Yuan.
